3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Adverse Event Analysis (DE.AE): Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents (formerly DE.AE, DE.DP-02)",DE.AE-03,DE.AE-03: Information is correlated from multiple sources
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Adverse Event Analysis (DE.AE): Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents (formerly DE.AE, DE.DP-02)",DE.AE-04,DE.AE-04: The estimated impact and scope of adverse events are determined
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Adverse Event Analysis (DE.AE): Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents (formerly DE.AE, DE.DP-02)",DE.AE-06,DE.AE-06: Information on adverse events is provided to authorized staff and tools (formerly DE.DP-04)
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Adverse Event Analysis (DE.AE): Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents (formerly DE.AE, DE.DP-02)",DE.AE-07,DE.AE-07: Cyber threat intelligence and other contextual information are integrated into the analysis
3,DETECT (DE): Find and analyze possible cybersecurity attacks and compromises,"Adverse Event Analysis (DE.AE): Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents (formerly DE.AE, DE.DP-02)",DE.AE-08,DE.AE-08: Incidents are declared when adverse events meet the defined incident criteria (formerly DE.AE-05)
2,DETECT,Detection Processes ,DE.DP,
1,5-RESPOND,,RS,
2,RESPOND,Response Planning,RS.RP,
2,RESPOND,Incident Management,RS.MA,
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Management (RS.MA): Responses to detected cybersecurity incidents are managed (formerly RS.RP),RS.MA-01,"RS.MA-01: The incident response plan is executed once an incident is declared in coordination with relevant third parties (formerly RS.RP-01, RS.CO-04)"
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Management (RS.MA): Responses to detected cybersecurity incidents are managed (formerly RS.RP),RS.MA-02,"RS.MA-02: Incident reports are triaged and validated (formerly RS.AN-01, RS.AN-02)"
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Management (RS.MA): Responses to detected cybersecurity incidents are managed (formerly RS.RP),RS.MA-03,"RS.MA-03: Incidents are categorized and prioritized (formerly RS.AN-04, RS.AN-02)"
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Management (RS.MA): Responses to detected cybersecurity incidents are managed (formerly RS.RP),RS.MA-04,"RS.MA-04: Incidents are escalated or elevated as needed (formerly RS.AN-02, RS.CO-04)"
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Management (RS.MA): Responses to detected cybersecurity incidents are managed (formerly RS.RP),RS.MA-05,RS.MA-05: The criteria for initiating incident recovery are applied
2,RESPOND,Incident Analysis,RS.AN,
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Analysis (RS.AN): Investigation is conducted to ensure effective response and support forensics and recovery activities,RS.AN-03,RS.AN-03: Analysis is performed to determine what has taken place during an incident and the root cause of the incident
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Analysis (RS.AN): Investigation is conducted to ensure effective response and support forensics and recovery activities,RS.AN-06,RS.AN-06: Actions performed during an investigation are recorded and the records' integrity and provenance are preserved (formerly part of RS.AN-03)
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Analysis (RS.AN): Investigation is conducted to ensure effective response and support forensics and recovery activities,RS.AN-07,"RS.AN-07: Incident data and metadata are collected, and their integrity and provenance are preserved"
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Analysis (RS.AN): Investigation is conducted to ensure effective response and support forensics and recovery activities,RS.AN-08,RS.AN-08: The incident's magnitude is estimated and validated
2,RESPOND,Incident Response Reporting and Communication,RS.CO,
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,"Incident Response Reporting and Communication (RS.CO): Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies",RS.CO-02,RS.CO-02: Internal and external stakeholders are notified of incidents
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,"Incident Response Reporting and Communication (RS.CO): Response activities are coordinated with internal and external stakeholders as required by laws, regulations, or policies",RS.CO-03,"RS.CO-03: Information is shared with designated internal and external stakeholders (formerly RS.CO-03, RS.CO-05)"
2,RESPOND,Incident Mitigation,RS.MI,
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Mitigation (RS.MI): Activities are performed to prevent expansion of an event and mitigate its effects,RS.MI-01,RS.MI-01: Incidents are contained
3,RESPOND (RS): Take action regarding a detected cybersecurity incident,Incident Mitigation (RS.MI): Activities are performed to prevent expansion of an event and mitigate its effects,RS.MI-02,RS.MI-02: Incidents are eradicated
2,RESPOND,Improvements,RS.IM,
1,6-RECOVER,,RC,
2,RECOVER,Incident Recovery Plan Execution,RC.RP,
3,RECOVER (RC): Restore assets and operations that were impacted by a cybersecurity incident,Incident Recovery Plan Execution (RC.RP): Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,RC.RP-01,RC.RP-01: The recovery portion of the incident response plan is executed once initiated from the incident response process
3,RECOVER (RC): Restore assets and operations that were impacted by a cybersecurity incident,Incident Recovery Plan Execution (RC.RP): Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,RC.RP-02,"RC.RP-02: Recovery actions are determined, scoped, prioritized, and performed"
3,RECOVER (RC): Restore assets and operations that were impacted by a cybersecurity incident,Incident Recovery Plan Execution (RC.RP): Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,RC.RP-03,RC.RP-03: The integrity of backups and other restoration assets is verified before using them for restoration
3,RECOVER (RC): Restore assets and operations that were impacted by a cybersecurity incident,Incident Recovery Plan Execution (RC.RP): Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,RC.RP-04,RC.RP-04: Critical mission functions and cybersecurity risk management are considered to establish post-incident operational norms
3,RECOVER (RC): Restore assets and operations that were impacted by a cybersecurity incident,Incident Recovery Plan Execution (RC.RP): Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,RC.RP-05,"RC.RP-05: The integrity of restored assets is verified, systems and services are restored, and normal operating status is confirmed"
3,RECOVER (RC): Restore assets and operations that were impacted by a cybersecurity incident,Incident Recovery Plan Execution (RC.RP): Restoration activities are performed to ensure operational availability of systems and services affected by cybersecurity incidents,RC.RP-06,"RC.RP-06: The criteria for determining the end of incident recovery are applied, and incident-related documentation is completed"
2,RECOVER,Incident Recovery Communication,RC.CO,
3,RECOVER (RC): Restore assets and operations that were impacted by a cybersecurity incident,Incident Recovery Communication (RC.CO): Restoration activities are coordinated with internal and external parties,RC.CO-03,RC.CO-03: Recovery activities and progress in restoring operational capabilities are communicated to designated internal and external stakeholders
2,RECOVER,Improvements,RC.IM,
