Status,#,Category,Criteria,Control Activities Specified by the Service Organization,Tests Applied by the Service Auditor,Changes
,114,Monitoring Activities,CC4.1,A data backup restoration test is performed on quarterly basis.,Inquired of the GRC Team Contractor regarding restoration testing to determine that a data backup restoration test was performed on a quarterly basis.,
,,,,,Inspected the completed backup restoration test for a sample of quarters to determine that a data backup restoration test was performed on a quarterly basis.,
Update,115,Monitoring Activities,CC4.1,"Vulnerability scans are performed continually, and remedial actions are taken where necessary.","Inspected the completed vulnerability scan dashboard to determine that vulnerability scans were performed continually, and remedial actions were taken where necessary.","Update Control to: Vulnerability scans are performed continually, and remedial actions are taken where necessary to address areas of high-risk."
,,,,,"Inspected the supporting ticket for a sample of vulnerabilities identified by the vulnerability scans to determine that vulnerability scans were performed continually, and remedial actions were taken where necessary.",
,116,Monitoring Activities,CC4.1,A third party performs a web application penetration test annually to identify and exploit vulnerabilities identified within the environment.,Inspected the completed penetration test report to determine that a third party performed a web application penetration test annually to identify and exploit vulnerabilities identified within the environment.,
,117,Monitoring Activities,CC4.1,"Annually, a third party performs an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls is sufficient to mitigate risks to the achievement of business objectives.",Inquired of the GRC Team Contractor to determine that a third party performed an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls was sufficient to mitigate risks to the achievement of business objectives on an annual basis.,
,,,,,Inspected the internal audit documentation to determine that a third party performed an audit of the system of internal control to verify that the suitability of design and operating effectiveness of internal controls was sufficient to mitigate risks to the achievement of business objectives on an annual basis.,
,118,Monitoring Activities,CC4.1,Performance and conduct evaluations are performed for personnel on an annual basis.,Inspected the completed evaluation form for a sample of current employees to determine that performance and conduct evaluations were performed for personnel on an annual basis.,
,119,Monitoring Activities,CC4.1,Management obtains and reviews attestation reports of vendors and third parties to evaluate the effectiveness of controls within the vendor or third party’s environment.,Inspected the completed third-party attestation report and management’s review for a sample of third parties to determine that management obtained and reviewed attestation reports of vendors and third parties to evaluate the effectiveness of controls within the vendor or third party’s environment.,
,120,Monitoring Activities,CC4.1,A formal risk assessment is performed on an annual basis to identify internal and external threats and vulnerabilities that could impair system commitments and requirements.,Inspected the completed risk assessment to determine that a formal risk assessment was performed on an annual basis to identify internal and external threats and vulnerabilities that could impair system commitments and requirements.,
,121,Monitoring Activities,CC4.2,"Senior management assesses the results of the compliance, control and risk assessments performed on the environment.","Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that senior management assessed the results of the compliance, control and risk assessments performed on the environment.",
,122,Monitoring Activities,CC4.2,"Senior management is made aware of high-risk vulnerabilities, deviations and control failures/gaps identified as part of the compliance, control and risk assessments performed.","Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that senior management was made aware of high-risk vulnerabilities, deviations and controls gaps identified as part of the compliance, control and risk assessments performed.",
Update,123,Monitoring Activities,CC4.2,"Controls within the environment are modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.","Inspected the various assessments including risk assessment, vulnerability scan results, penetration test results, and internal audit results performed on the environment to determine that controls within the environment were modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.",Possibly update wording to address Wiz short term logs limitations
,,,,,"Inspected the supporting incident ticket for a sample of vulnerabilities identified from a vulnerability scan or penetration test to determine that controls within the environment were modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.",
,,,,,"Inspected the supporting incident ticket for a sample of deviations identified from the tool used to monitor key systems, tools and applications for compliance to determine that controls within the environment were modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.",
,,,,,"Inspected the supporting incident ticket for a sample of control failures/gaps to determine that controls within the environment were modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.",
Update,124,Monitoring Activities,CC4.2,"Vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment are documented, investigated, and addressed.","Inspected the various assessments performed on the environment to determine that vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment were documented, investigated, and addressed.",Possibly update wording to address Wiz short term logs limitations
,,,,,"Inspected the supporting incident ticket for a sample of vulnerabilities identified from a vulnerability scan or penetration test to determine that vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment were documented, investigated, and addressed.",
,,,,,"Inspected the supporting incident ticket for a sample of deviations identified from the tool used to monitor key systems, tools and applications for compliance to determine that vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment were documented, investigated, and addressed.",
,,,,,"Inspected the supporting incident ticket for a sample of control failures/gaps to determine that vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment were documented, investigated, and addressed.",
Update,125,Monitoring Activities,CC4.2,"Vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment are addressed by those parties responsible for taking corrective actions.","Inspected the various assessments performed on the environment to determine that vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment were addressed by those parties responsible for taking corrective actions.",Possibly update wording to address Wiz short term logs limitations
,,,,,"Inspected the supporting incident ticket for a sample of vulnerabilities identified from a vulnerability scan or penetration test to determine that vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment were addressed by those parties responsible for taking corrective actions.",
,,,,,"Inspected the supporting incident ticket for a sample of deviations identified from the tool used to monitor key systems, tools and applications for compliance to determine that vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment were documented, investigated, and addressed.",
,,,,,"Inspected the supporting incident ticket for a sample of control failures/gaps to determine that vulnerabilities, deviations and control failures/gaps identified from the various assessments performed on the environment were documented, investigated, and addressed.",
,126,Monitoring Activities,CC4.2,"Management tracks whether vulnerabilities, deviations and control failures/gaps identified as part of the evaluations performed are addressed in a timely manner. ","Inspected the completed incident management reports to determine that management tracked whether vulnerabilities, deviations and control failures/gaps identified as part of the evaluations performed were addressed in a timely manner. ",
,127,Control Activities,CC5.1,"As part of the risk assessment process, controls within the environment are modified and implemented to mitigate identified vulnerabilities, deviations and control gaps. ","Inspected the completed risk assessment and the internal controls matrix to determine that as part of the risk assessment process, controls within the environment were modified and implemented to mitigate identified vulnerabilities, deviations and control gaps. ",
,128,Control Activities,CC5.1,"Controls within the environment are modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.","Inspected the various assessments including risk assessment, vulnerability scan results, penetration test results, and internal audit results performed on the environment to determine that controls within the environment were modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.",
,,,,,"Inspected the supporting incident ticket for a sample of vulnerabilities identified from a vulnerability scan or penetration test to determine that controls within the environment were modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.",
,,,,,"Inspected the supporting incident ticket for a sample of deviations identified from the tool used to monitor key systems, tools and applications for compliance to determine that controls within the environment were modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.",
,,,,,"Inspected the supporting incident ticket for a sample of control failures/gaps to determine that controls within the environment were modified and implemented to mitigate vulnerabilities, deviations and control failures/gaps identified as part of the various evaluations performed.",
,129,Control Activities,CC5.1,Performance of the internal controls implemented within the environment are assigned to appropriate process owners and operational personnel based on roles and responsibilities.,Inquired of the GRC Team Contractor regarding internal control assignments to determine that performance of the internal controls implemented within the environment were assigned to appropriate process owners and operational personnel based on roles and responsibilities.,
,,,,,Inspected the organizational chart and the internal controls matrix to determine that performance of the internal controls implemented within the environment were assigned to appropriate process owners and operational personnel based on roles and responsibilities.,
,130,Control Activities,CC5.1,"Prior to the development and implementation of internal controls into the environment, management considers the complexity, nature, and scope of its operations.","Inquired of the GRC Team Contractor regarding the internal controls environment to determine that prior to the development and implementation of internal controls into the environment, management considered the complexity, nature and scope of its operations.",
,,,,,"Inspected the internal controls matrix to determine that prior to the development and implementation of internal controls into the environment, management considered the complexity, nature and scope of its operations.",
,,,,,"Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that prior to the development and implementation of internal controls into the environment, management considered the complexity, nature and scope of its operations.",
,,,,Management has documented the relevant controls in place for each key business or operational process.,Inspected the internal controls matrix to determine that management had documented the relevant controls in place for each key business or operational process.,
,131,Control Activities,CC5.1,"Management has incorporated a variety of controls into their environment that include manual, automated, preventive, detective, and corrective controls.","Inspected the internal controls matrix to determine that management had incorporated a variety of controls into their environment that included manual, automated, preventive, detective, and corrective controls.",
,132,Control Activities,CC5.1,"Management develops risk mitigation strategies, including the implementation of controls, to address risks identified during the risk assessment process.","Inspected the risk assessment policies and procedures to determine that management developed risk mitigation strategies, including the implementation of controls, to address risks identified during the risk assessment process.",
,,,,,"Inspected the completed risk assessment and the internal controls matrix to determine that management developed risk mitigation strategies, including the implementation of controls, to address risks identified during the risk assessment process.",
,,,,,"Inspected the supporting incident ticket for a sample of control failures/gaps to determine that management developed risk mitigation strategies, including the implementation of controls, to address risks identified during the risk assessment process.",
,133,Control Activities,CC5.1,Business continuity and disaster recovery plans are developed and updated on an annual basis.,"Inspected the business continuity and disaster recovery plans, including revision history to determine that business continuity and disaster recovery plans were developed and updated on an annual basis.",
,134,Control Activities,CC5.1,Business continuity and disaster recovery plans are tested on an annual basis.,Inspected the completed business continuity and disaster recovery plan test results to determine that business continuity and disaster recovery plans were tested on an annual basis.,
,135,Control Activities,CC5.1,"An analysis of incompatible operational duties is performed on an annual basis, and where incompatible responsibilities are identified, compensating controls are put into place.","Inspected the organizational chart and internal controls matrix to determine that an analysis of incompatible operational duties was performed on an annual basis, and where incompatible responsibilities were identified, compensating controls were put into place.",
,136,Control Activities,CC5.2,"Management has documented the relationship and linkage between business processes, the relevant technologies used to support the business processes, and the controls in place to help secure those business processes.","Inspected the internal controls matrix to determine that management documented the relationship and linkage between business processes, the relevant technologies used to support the business processes, and the controls in place to help secure those business processes. ",
,137,Control Activities,CC5.2,Organizational and information security policies and procedures are documented and made available to personnel through the entity's intranet.,Inspected the organizational and information security policies and procedures and the entity's intranet to determine that organizational and information security policies and procedures were documented and made available to personnel through the entity's intranet.,
,138,Control Activities,CC5.2,Management has documented the controls implemented around the entity's technology infrastructure.,Inspected the internal controls matrix to determine that management had documented the controls implemented around the entity's technology infrastructure.,
,139,Control Activities,CC5.2,"Management has established controls around the entity's technology infrastructure to address the risks of incomplete, inaccurate, and unavailable technology processing.","Inspected the internal controls matrix to determine that management had established controls around the entity's technology infrastructure to address the risks of incomplete, inaccurate, and unavailable technology processing.",
,140,Control Activities,CC5.2,"As part of the risk assessment process, the use of technology in business processes is evaluated by management. ","Inspected the completed risk assessment to determine that as part of the risk assessment process, the use of technology in business processes was evaluated by management. ",
,141,Control Activities,CC5.2,"The internal controls implemented around the entity's technology infrastructure include, but are not limited to:
•	Restricting access rights to authorized users
•	Authentication of access
•	Protecting the entity's assets from external threats","Inspected the internal controls matrix to determine that the internal controls implemented around the entity's technology infrastructure included, but were not limited to:
•	Restricting access rights to authorized users
•	Authentication of access
•	Protecting the entity's assets from external threats",
,142,Control Activities,CC5.2,"Management has established controls around the acquisition, development and maintenance of the entity's technology infrastructure.","Inspected the internal controls matrix to determine that management had established controls around the acquisition, development and maintenance of the entity's technology infrastructure.",
,143,Control Activities,CC5.3,Organizational and information security policies and procedures are documented and made available to personnel through the entity's intranet.,Inspected the organizational and information security policies and procedures and the entity's intranet to determine that organizational and information security policies and procedures were documented and made available to personnel through the entity's intranet.,
,144,Control Activities,CC5.3,Management has implemented controls that are built into the organizational and information security policies and procedures. ,Inspected the organizational and information security policies and procedures and the internal controls matrix to determine that management had implemented controls that were built into the organizational and information security policies and procedures. ,
,145,Control Activities,CC5.3,Process owners and key management are assigned ownership to each key internal control implemented within the entity's environment. ,Inspected the internal controls matrix to determine that process owners and key management were assigned ownership to each key internal control implemented within the entity's environment. ,
,146,Control Activities,CC5.3,Roles and responsibilities are defined in written job descriptions and communicated to personnel through the entity's intranet.,Inspected the job description for a sample of job roles and the entity's intranet to determine that roles and responsibilities were defined in written job descriptions and communicated to personnel through the entity's intranet.,
,147,Control Activities,CC5.3,Process owners and management investigate and troubleshoot control failures.,Inspected the completed risk assessment and the internal controls matrix to determine that process owners and management investigated and troubleshot control failures.,
,,,,,Inspected the supporting incident ticket for a sample of control failures/gaps to determine that process owners and management investigated and troubleshot control failures.,
,148,Control Activities,CC5.3,Effectiveness of the internal controls implemented within the environment are evaluated annually.,Inspected the ISMS and PIMS Annual Management Review and the meeting invite to determine that effectiveness of the internal controls implemented within the environment were evaluated annually.,
,149,Logical and Physical Access Controls,CC6.1,"The entity implements logical access security software, infrastructure, and architectures over protected information assets to protect them from security events to meet the entity’s objectives.","Documented policies and procedures are in place regarding system configurations, authentication, access, and security monitoring.",
,,,,,An inventory of system assets and components is maintained to classify and manage the information assets.,
Internal Network - Okta,,,,,,
,150,Logical and Physical Access Controls,CC6.1,Network user access is restricted via role-based security privileges defined within the access control system.,Inquired of the GRC Team Contractor regarding network access to determine that network user access was restricted via role-based security privileges defined within the access control system.,
,,,,,Inspected the network user listing and access roles to determine that network user access was restricted via role-based security privileges defined within the access control system.,
,151,Logical and Physical Access Controls,CC6.1,Network administrative access is restricted to authorized personnel.,Inquired of the GRC Team Contractor regarding administrative access to the network to determine that network administrative access was restricted to authorized personnel.,
,,,,,Inspected the network administrator listing and access roles to determine that network administrative access was restricted to authorized personnel.,
,152,Logical and Physical Access Controls,CC6.1,"The network is configured to enforce password requirements that include:
•	Password history
•	Maximum password age
•	Password length
•	Complexity","Inspected the network password configurations to determine that the network was configured to enforce password requirements that included:
•	Password history
•	Maximum password age
•	Password length
•	Complexity",
,153,Logical and Physical Access Controls,CC6.1,Network users are authenticated via individually assigned user accounts and passwords.,Inquired of the GRC Team Contractor regarding the authentication of a user to the network to determine that network users were authenticated via individually assigned user accounts and passwords.,
,,,,,Observed the authentication of a user to the network to determine that network users were authenticated via individually assigned user accounts and passwords.,
,,,,,Inspected the network user listing and password configurations to determine that network users were authenticated via individually assigned user accounts and passwords.,
,154,Logical and Physical Access Controls,CC6.1,"Network account lockout configurations are in place that include:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset","Inspected the network account lockout configurations to determine that network account lockout configurations were in place that included:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset",
,155,Logical and Physical Access Controls,CC6.1,"Network audit logging configurations are in place that include:
•	Logon events
•	Privilege use
•	System events
•	Security events","Inspected the network audit logging configurations and an example network audit log extract to determine that network audit logging configurations were in place that included:
•	Logon events
•	Privilege use
•	System events
•	Security events",
,156,Logical and Physical Access Controls,CC6.1,Network audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the network audit logs to determine that network audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example network audit log extract to determine that network audit logs were maintained and available for review when needed. ,
"Production Network - AWS, Azure",,,,,,
,157,Logical and Physical Access Controls,CC6.1,Production network user access is restricted via role-based security privileges defined within the access control system.,Inquired of the GRC Team Contractor regarding production network access to determine that production network user access was restricted via role-based security privileges defined within the access control system.,
,,,,,Inspected the production network user listing and access roles to determine that production network user access was restricted via role-based security privileges defined within the access control system.,
,158,Logical and Physical Access Controls,CC6.1,Production network administrative access is restricted to authorized personnel.,Inquired of the GRC Team Contractor regarding production administrative access to the production network to determine that production network administrative access was restricted to authorized personnel.,
,,,,,Inspected the production network administrator listing and access roles to determine that production network administrative access was restricted to authorized personnel.,
,159,Logical and Physical Access Controls,CC6.1,"Production network is configured to enforce password requirements that include:
•	Password history
•	Maximum password age
•	Password length
•	Complexity","Inspected the production network password configurations to determine that the production network was configured to enforce password requirements that included:
•	Password history
•	Maximum password age
•	Password length
•	Complexity",
,160,Logical and Physical Access Controls,CC6.1,Production network users are authenticated via individually assigned user accounts and passwords.,Inquired of the GRC Team Contractor regarding the authentication of a user to the production network to determine that production network users were authenticated via individually assigned user accounts and passwords.,
,,,,,Observed the authentication of a user to the production network to determine that production network users were authenticated via individually assigned user accounts and passwords.,
,,,,,Inspected the production network user listing and password configurations to determine that production network users were authenticated via individually assigned user accounts and passwords.,
,161,Logical and Physical Access Controls,CC6.1,"Production network audit logging configurations are in place that include:
•	Logon events
•	Privilege use
•	System events
•	Security events","Inspected the production network audit logging configurations and an example production network audit log extract to determine that production network audit logging configurations were in place that included:
•	Logon events
•	Privilege use
•	System events
•	Security events",
,162,Logical and Physical Access Controls,CC6.1,Production network audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the production network audit logs to determine that production network audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example production network audit log extract to determine that production network audit logs were maintained and available for review when needed. ,
"Production Servers - Linux, Windows",,,,,,
,163,Logical and Physical Access Controls,CC6.1,Production server user access is restricted via role-based security privileges defined within the access control system.,Inquired of the GRC Team Contractor regarding production server access to determine that production server user access was restricted via role-based security privileges defined within the access control system.,
,,,,,Inspected the production server user listing and access roles to determine that production server user access was restricted via role-based security privileges defined within the access control system.,
,164,Logical and Physical Access Controls,CC6.1,Production server administrative access is restricted to authorized personnel.,Inquired of the GRC Team Contractor regarding the administrative access to the production servers to determine that production server administrative access was restricted to authorized personnel.,
,,,,,Inspected the production server administrator listing and access roles for a sample of production servers to determine that production server administrative access was restricted to authorized personnel.,
,165,Logical and Physical Access Controls,CC6.1,"Production servers are configured to enforce password requirements that include:
•	Password history
•	Maximum password age
•	Password length
•	Complexity","Inspected the production server password configurations to determine that production servers were configured to enforce password requirements that included:
•	Password history
•	Maximum password age
•	Password length
•	Complexity",
,166,Logical and Physical Access Controls,CC6.1,Production server users are authenticated via individually assigned user accounts and passwords.,Inquired of the GRC Team Contractor regarding the authentication of a user to the production servers to determine that production server users were authenticated via individually assigned user accounts and passwords.,
,,,,,Observed the authentication of a user to the production servers to determine that production server users were authenticated via individually assigned user accounts and passwords.,
,,,,,Inspected the production server user listings and password configurations for a sample of production servers to determine that production server users were authenticated via individually assigned user accounts and passwords.,
,167,Logical and Physical Access Controls,CC6.1,"Production server account lockout configurations are in place that include:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset","Inspected the account lockout configurations for a sample of production servers to determine that production server account lockout configurations were in place that included:
•	Account lockout duration
•	Account lockout threshold
•	Account lockout counter reset",
,168,Logical and Physical Access Controls,CC6.1,"Production server audit logging configurations are in place that include:
•	Access events
•	API events
•	System events","Inspected the production server audit logging configurations and an example production server audit log extract to determine that production server audit logging configurations were in place that included:
•	Access events
•	API events
•	System events",
,169,Logical and Physical Access Controls,CC6.1,Production server audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the production server audit logs to determine that production server audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example production server audit log extract to determine that production server audit logs were maintained and available for review when needed. ,
Production Databases - Amazon RDS,,,,,,
,170,Logical and Physical Access Controls,CC6.1,Production database user access is restricted via role-based security privileges defined within the access control system.,Inquired of the GRC Team Contractor regarding production database access to determine that production database user access was restricted via role-based security privileges defined within the access control system.,
,,,,,Inspected the user listing and access roles to determine that production database user access was restricted via role-based security privileges defined within the access control system.,
,171,Logical and Physical Access Controls,CC6.1,Production databases administrative access is restricted to authorized personnel.,Inquired of the GRC Team Contractor regarding administrative access to the production databases to determine that production database administrative access was restricted to authorized personnel.,
,,,,,Inspected the production database administrator listing and access roles for a sample of production databases to determine that production database administrative access was restricted to authorized personnel.,
,172,Logical and Physical Access Controls,CC6.1,"Production database are configured to enforce password requirements that include:
•	Password history
•	Maximum password age
•	Minimum password age
•	Password length
•	Complexity","Inspected the password configurations for the production databases to determine that production database were configured to enforce password requirements that included:
•	Password history
•	Maximum password age
•	Minimum password age
•	Password length
•	Complexity",
,173,Logical and Physical Access Controls,CC6.1,Production database users are authenticated via individually assigned user accounts and passwords.,Inquired of the GRC Team Contractor regarding the authentication of a user to the production databases to determine that production database users were authenticated via individually assigned user accounts and passwords.,
,,,,,Observed the authentication of a user to the production databases to determine that production database users were authenticated via individually assigned user accounts and passwords.,
,,,,,Inspected the production database user listings and password configurations for a sample of production databases to determine that production database users were authenticated via individually assigned user accounts and passwords.,
,174,Logical and Physical Access Controls,CC6.1,"Production database account lockout configurations are in place that include:
•	Account lockout duration
•	Account lockout threshold","Inspected the account lockout configurations for the production databases to determine that production database account lockout configurations were in place that included:
•	Account lockout duration
•	Account lockout threshold",
,175,Logical and Physical Access Controls,CC6.1,Production database audit logging configurations are in place to log user activity and system events.,Inspected the production database audit logging configurations and an example production database audit log extract to determine that production database audit logging configurations were in place to log user activity and system events.,
,176,Logical and Physical Access Controls,CC6.1,Production database audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the production database audit logs to determine that the production database audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example production database audit log extract to determine that production databases audit logs were maintained and available for review when needed. ,
Production Apllication - Talent Cloud,,,,,,
,177,Logical and Physical Access Controls,CC6.1,Production application user access is restricted via role-based security privileges defined within the access control system.,Inquired of the GRC Team Contractor regarding production application access to determine that production application user access was restricted via role-based security privileges defined within the access control system.,
,,,,,Inspected the production application user listing and access roles to determine that production application user access was restricted via role-based security privileges defined within the access control system.,
,178,Logical and Physical Access Controls,CC6.1,Production application administrative access is restricted to authorized personnel.,Inquired of the GRC Team Contractor regarding administrative access to the production application to determine that production application administrative access was restricted to authorized personnel.,
,,,,,Inspected the production application administrator listing and access roles to determine that production application administrative access was restricted to authorized personnel.,
,179,Logical and Physical Access Controls,CC6.1,"The production application is configured to enforce password requirements that include:
•	Password history
•	Password length
•	Complexity","Inspected the production application password configurations to determine that production application was configured to enforce password requirements that included:
•	Password history
•	Password length
•	Complexity",
,180,Logical and Physical Access Controls,CC6.1,Production application users are authenticated via individually assigned user accounts and passwords.,Inquired of the GRC Team Contractor regarding authentication of a user to the production application to determine that production application users were authenticated via individually assigned user accounts and passwords.,
,,,,,Observed the authentication of a user to the production application to determine that production application users were authenticated via individually assigned user accounts and passwords.,
,,,,,Inspected the production application user listing and password configurations to determine that production application users were authenticated via individually assigned user accounts and passwords.,
,181,Logical and Physical Access Controls,CC6.1,"Production application account lockout configurations are in place that include:
•	Account lockout duration
•	Account lockout threshold","Inspected the production application account lockout configurations to determine that production application account lockout configurations were in place that included:
•	Account lockout duration
•	Account lockout threshold",
,182,Logical and Physical Access Controls,CC6.1,Production application audit logging configurations are in place to log user activity and system events.,Inspected the production application audit logging configurations and an example production application audit log extract to determine that production application audit logging configurations were in place to log user activity and system events.,
,183,Logical and Physical Access Controls,CC6.1,Production application audit logs are maintained and available for review when needed. ,Inquired of the GRC Team Contractor regarding the production application audit logs to determine that production application audit logs were maintained and available for review when needed. ,
,,,,,Inspected an example production application audit log extract to determine that production application audit logs were maintained and available for review when needed. ,
,184,Logical and Physical Access Controls,CC6.1,The entity's various networks are segmented to keep information and data isolated and restricted to authorized personnel. ,Inquired of the GRC Team Contractor regarding the entity’s networks to determine that the entity's various networks were segmented to keep information and data isolated and restricted to authorized personnel.,
,,,,,Inspected the network diagram to determine that the entity's various networks were segmented to keep information and data isolated and restricted to authorized personnel. ,
,185,Logical and Physical Access Controls,CC6.1,Data coming into the environment is secured and monitored through the use of firewalls and an IDS.,"Inspected the IDS configurations, firewall rule sets and the network diagram to determine that data coming into the environment was secured and monitored through the use of firewalls and an IDS.",
,186,Logical and Physical Access Controls,CC6.1,A demilitarized zone (DMZ) is in place to isolate outside access and data from the entity's environment.,Inspected the DMZ configurations to determine that a DMZ was in place to isolate outside access and data from the entity's environment.,
,187,Logical and Physical Access Controls,CC6.1,Server certificate-based authentication is used as part of the TLS encryption with a trusted certificate authority. ,Inspected the encryption configurations for data in transit and digital certificates to determine that server certificate-based authentication was used as part of the TLS encryption with a trusted certificate authority. ,
,188,Logical and Physical Access Controls,CC6.1,Passwords and production data is stored in an encrypted format using software supporting the Advanced Encryption Standard (AES).,Inspected the encryption configurations for data at rest to determine that passwords and production data was stored in an encrypted format using software supporting the AES.,
,189,Logical and Physical Access Controls,CC6.1,"Encryption keys are protected during generation, storage, use, and destruction.","Inquired of the GRC Team Contractor regarding the encryption keys to determine that encryption keys were required to be protected during generation, storage, use, and destruction.",
,,,,,"Inspected the encryption policies and procedures to determine that encryption keys were required to be protected during generation, storage, use, and destruction.",
,190,Logical and Physical Access Controls,CC6.1,Logical access reviews are performed quarterly. ,Inquired of the GRC Team Contractor regarding user access reviews to determine that logical access reviews were performed quarterly.,
,,,,,Inspected the completed access review for the in-scope systems for a sample of quarters to determine that logical access reviews were performed quarterly.,
,191,Logical and Physical Access Controls,CC6.1,Logical access to systems is approved and granted to personnel as a component of the hiring process.,Inquired of the GRC Team Contractor regarding the hiring process to determine that logical access to systems was approved and granted to personnel as a component of the hiring process.,
,,,,,"Inspected the hiring procedures, in-scope user listings, and user access request ticket for a sample of new hires to determine that logical access to systems was approved and granted to personnel as a component of the hiring process.",
,192,Logical and Physical Access Controls,CC6.1,Logical access to systems is revoked from personnel as a component of the termination process within one business day of termination.,Inquired of the GRC Team Contractor regarding the termination process to determine that logical access to systems was revoked from personnel as a component of the termination process within one business day of termination.,
,,,,,"Inspected the termination procedures, in-scope user listings, and user access revocation ticket for a sample of terminated employees to determine that logical access to systems was revoked from personnel as a component of the termination process within one business day of termination.",
,193,Logical and Physical Access Controls,CC6.2,"Documented policies and procedures are in place regarding system configurations, authentication, access, and security monitoring.","Inspected the information security policies and procedures to determine that documented policies and procedures were in place regarding system configurations, authentication, access, and security monitoring.",
,194,Logical and Physical Access Controls,CC6.2,Logical access to systems is approved and granted to personnel as a component of the hiring process.,Inquired of the GRC Team Contractor regarding the hiring process to determine that logical access to systems was approved and granted to personnel as a component of the hiring process.,
,,,,,"Inspected the hiring procedures, in-scope user listings, and user access request ticket for a sample of new hires to determine that logical access to systems was approved and granted to personnel as a component of the hiring process.",
